Sample,Coverage,Group
T1900045070_TC20190064,0.0972322,SGB_6458
T1900045071_TC20190065,0.013403451,SGB_6458
T1900045072_TC20190066,0.021581034,SGB_6458
T1900045073_TC20190067,0.94189517,SGB_6458
T1900045074_TC20190068,1.502923079,SGB_6458
T1900045075_TC20190069,2.141301308,SGB_6458
T1900045076_TC20190070,0.457952546,SGB_6458
T1900045077_TC20190071,0.038196372,SGB_6458
T1900045078_TC20190072,0.392751617,SGB_6458
T1900045079_TC20190073,0.377281029,SGB_6458
T1900045080_TC20190074,0.11063303,SGB_6458
T1900045081_TC20190075,0.002621918,SGB_6458
T1900045082_TC20190076,0.043853486,SGB_6458
T1900045083_TC20190077,0.889342638,SGB_6458
T1900045084_TC20190078,0.921393001,SGB_6458
T1900045085_TC20190079,0.154606306,SGB_6458
T1900045086_TC20190080,0.011963717,SGB_6458
T1900045087_TC20190081,1.290721054,SGB_6458
T1900045088_TC20190082,0.010811855,SGB_6458
T1900045089_TC20190083,0.046435723,SGB_6458
T1900045090_TC20190084,0.87442683,SGB_6458
T1900045091_TC20190085,1.405849976,SGB_6458
T1900045092_TC20190086,0.197428843,SGB_6458
T1900045094_TC20190088,0.018366902,SGB_6458
T1900045095_TC20190089,1.278511392,SGB_6458
T1900045096_TC20190090,1.386069545,SGB_6458
T1900045097_TC20190091,0.017338199,SGB_6458
T1900045098_TC20190092,1.445449396,SGB_6458
T1900045099_TC20190093,1.977111376,SGB_6458
T1900045100_TC20190094,2.08487804,SGB_6458
T1900045101_TC20190095,0.009525603,SGB_6458
T1900045102_TC20190096,0.463356601,SGB_6458
T1900045103_TC20190097,0.03384872,SGB_6458
T1900045104_TC20190098,0.025573807,SGB_6458
T1900045105_TC20190099,0.025171759,SGB_6458
T1900045106_TC20190100,0.604996693,SGB_6458
T1900045107_TC20190101,0.153006727,SGB_6458
T1900045108_TC20190102,0.020306013,SGB_6458
T1900045109_TC20190103,1.360839762,SGB_6458
T1900045110_TC20190104,0.023971232,SGB_6458
T1900045111_TC20190105,0.120831706,SGB_6458
T1900045112_TC20190106,0.03574553,SGB_6458
T1900045113_TC20190107,0.571515954,SGB_6458
T1900045114_TC20190108,0.444751242,SGB_6458
T1900045115_TC20190109,0.069955868,SGB_6458
T1900045116_TC20190110,0.015226889,SGB_6458
T1900045117_TC20190111,0.529857633,SGB_6458
T1900045118_TC20190112,0.0035619,SGB_6458
T1900045119_TC20190113,0.612134344,SGB_6458
T1900045120_TC20190114,0.088728186,SGB_6458
T1900045121_TC20190115,0.667358582,SGB_6458
T1900045122_TC20190116,0.840790364,SGB_6458
T1900045123_TC20190117,0.13924877,SGB_6458
T1900045124_TC20190118,0.447856814,SGB_6458
T1900045125_TC20190119,0.466172056,SGB_6458
T1900045126_TC20190120,0.06001025,SGB_6458
T1900045127_TC20190121,0.016094248,SGB_6458
T1900045128_TC20190122,0.090131983,SGB_6458
T1900045129_TC20190123,0.967737383,SGB_6458
T1900045130_TC20190124,0.438245112,SGB_6458
T1900045131_TC20190125,0.14761203,SGB_6458
T1900045132_TC20190126,1.01417086,SGB_6458
T1900045133_TC20190127,0.000232094,SGB_6458
T1900045135_TC20190129,0.400852835,SGB_6458
