Sample_ID,HQ_MAGs_n,MQ_MAGs_n,LQ_MAGs_n,Sample_n,HMQ_MAGs,Bins
T1900045298_TH20190068,21,81,134,s10,102,236
T1900045299_TH20190069,35,92,132,s10,127,259
T1900045300_TH20190070,30,104,150,s10,134,284
T1900045301_TH20190071,28,106,148,s10,134,282
T1900045302_TH20190072,31,88,161,s10,119,280
T1900045303_TH20190073,30,100,161,s10,130,291
T1900045304_TH20190074,36,136,176,s10,172,348
T1900045305_TH20190075,47,121,182,s10,168,350
T1900045306_TH20190076,33,113,181,s10,146,327
T1900045307_TH20190077,35,106,160,s10,141,301
T1900045308_TH20190078,41,111,164,s10,152,316
T1900045309_TH20190079,35,101,147,s10,136,283
T1900045310_TH20190080,21,87,120,s10,108,228
T1900045311_TH20190081,21,109,135,s10,130,265
T2001009369_TH82,17,128,210,s10,145,355
T1900045231_TH20190001,12,25,88,s15,37,125
T1900045232_TH20190002,32,108,231,s15,140,371
T1900045235_TH20190005,22,116,197,s15,138,335
T1900045236_TH20190006,79,189,318,s15,268,586
T1900045237_TH20190007,23,98,182,s15,121,303
T1900045238_TH20190008,1,7,26,s15,8,34
T1900045239_TH20190009,39,134,262,s15,173,435
T1900045240_TH20190010,20,116,240,s15,136,376
T1900045241_TH20190011,15,52,111,s15,67,178
T1900045242_TH20190012,38,143,247,s15,181,428
T1900045243_TH20190013,63,217,346,s15,280,626
T1900045244_TH20190014,5,12,145,s15,17,162
T1900045245_TH20190015,18,94,209,s15,112,321
T1900045246_TH20190016,55,193,339,s15,248,587
T1900045247_TH20190017,59,245,395,s15,304,699
T1900045248_TH20190018,42,198,365,s15,240,605
T1900045249_TH20190019,60,254,387,s15,314,701
T1900045250_TH20190020,45,254,450,s15,299,749
T1900045252_TH20190022,29,108,168,s15,137,305
T1900045253_TH20190023,34,104,177,s15,138,315
T1900045254_TH20190024,34,117,213,s15,151,364
T1900045255_TH20190025,23,84,120,s15,107,227
T1900045256_TH20190026,23,73,114,s15,96,210
T1900045257_TH20190027,21,87,202,s15,108,310
T1900045258_TH20190028,35,94,145,s15,129,274
T1900045259_TH20190029,38,105,160,s15,143,303
T1900045260_TH20190030,25,93,138,s15,118,256
T1900045261_TH20190031,23,78,106,s15,101,207
T1900045262_TH20190032,21,103,163,s15,124,287
T1900045263_TH20190033,10,45,103,s15,55,158
T1900045264_TH20190034,33,82,127,s15,115,242
T1900045265_TH20190035,37,119,195,s15,156,351
T1900045266_TH20190036,28,100,169,s15,128,297
T1900045267_TH20190037,43,150,195,s15,193,388
T1900045268_TH20190038,13,56,99,s15,69,168
T1900045269_TH20190039,30,89,176,s15,119,295
T1900045270_TH20190040,38,103,192,s15,141,333
T1900045271_TH20190041,35,83,165,s15,118,283
T1900045272_TH20190042,24,73,123,s15,97,220
T1900045273_TH20190043,26,74,135,s15,100,235
T1900045274_TH20190044,24,74,108,s15,98,206
T1900045275_TH20190045,34,86,170,s15,120,290
T1900045276_TH20190046,27,112,194,s15,139,333
T1900045277_TH20190047,27,107,186,s15,134,320
T1900045278_TH20190048,16,58,142,s15,74,216
T1900045279_TH20190049,37,112,153,s15,149,302
T1900045280_TH20190050,30,99,181,s15,129,310
T1900045281_TH20190051,26,85,146,s15,111,257
T1900045282_TH20190052,40,100,138,s15,140,278
T1900045283_TH20190053,39,129,154,s15,168,322
T1900045284_TH20190054,47,155,208,s15,202,410
T1900045285_TH20190055,45,126,232,s15,171,403
T1900045286_TH20190056,47,115,195,s15,162,357
T1900045287_TH20190057,53,167,221,s15,220,441
T1900045288_TH20190058,43,119,157,s15,162,319
T1900045289_TH20190059,20,62,108,s15,82,190
T1900045290_TH20190060,62,139,235,s15,201,436
T1900045291_TH20190061,32,88,140,s15,120,260
T1900045292_TH20190062,36,107,140,s15,143,283
T1900045293_TH20190063,43,124,232,s15,167,399
T1900045294_TH20190064,32,124,170,s15,156,326
T1900045295_TH20190065,42,126,173,s15,168,341
T1900045296_TH20190066,51,135,227,s15,186,413
T1900045297_TH20190067,65,131,184,s15,196,380
T1900045298_TH20190068,25,88,140,s15,113,253
T1900045299_TH20190069,36,90,132,s15,126,258
T1900045300_TH20190070,31,99,163,s15,130,293
T1900045301_TH20190071,29,110,155,s15,139,294
T1900045302_TH20190072,35,94,149,s15,129,278
T1900045303_TH20190073,36,102,154,s15,138,292
T1900045304_TH20190074,46,132,193,s15,178,371
T1900045305_TH20190075,42,134,193,s15,176,369
T1900045306_TH20190076,34,113,192,s15,147,339
T1900045307_TH20190077,41,109,159,s15,150,309
T1900045308_TH20190078,38,110,169,s15,148,317
T1900045309_TH20190079,41,108,156,s15,149,305
T1900045310_TH20190080,23,88,145,s15,111,256
T1900045311_TH20190081,23,112,140,s15,135,275
T2001009369_TH82,18,130,234,s15,148,382
T1900045231_TH20190001,12,25,87,s20,37,124
T1900045232_TH20190002,31,116,237,s20,147,384
T1900045235_TH20190005,24,118,206,s20,142,348
T1900045236_TH20190006,85,185,325,s20,270,595
T1900045237_TH20190007,25,93,194,s20,118,312
T1900045238_TH20190008,2,6,30,s20,8,38
T1900045239_TH20190009,36,138,288,s20,174,462
T1900045240_TH20190010,20,114,257,s20,134,391
T1900045241_TH20190011,17,50,120,s20,67,187
T1900045242_TH20190012,38,146,252,s20,184,436
T1900045243_TH20190013,59,228,357,s20,287,644
T1900045244_TH20190014,3,13,152,s20,16,168
T1900045245_TH20190015,18,101,213,s20,119,332
T1900045246_TH20190016,61,197,333,s20,258,591
T1900045247_TH20190017,60,247,412,s20,307,719
T1900045248_TH20190018,44,198,368,s20,242,610
T1900045249_TH20190019,60,262,401,s20,322,723
T1900045250_TH20190020,48,286,444,s20,334,778
T1900045252_TH20190022,31,108,179,s20,139,318
T1900045253_TH20190023,37,103,190,s20,140,330
T1900045254_TH20190024,32,122,202,s20,154,356
T1900045255_TH20190025,23,82,118,s20,105,223
T1900045256_TH20190026,22,74,139,s20,96,235
T1900045257_TH20190027,23,91,211,s20,114,325
T1900045258_TH20190028,36,96,161,s20,132,293
T1900045259_TH20190029,40,109,170,s20,149,319
T1900045260_TH20190030,28,95,134,s20,123,257
T1900045261_TH20190031,27,79,96,s20,106,202
T1900045262_TH20190032,26,107,155,s20,133,288
T1900045263_TH20190033,11,42,119,s20,53,172
T1900045264_TH20190034,38,85,133,s20,123,256
T1900045265_TH20190035,38,118,215,s20,156,371
T1900045266_TH20190036,28,112,141,s20,140,281
T1900045267_TH20190037,45,154,208,s20,199,407
T1900045268_TH20190038,13,62,103,s20,75,178
T1900045269_TH20190039,29,94,171,s20,123,294
T1900045270_TH20190040,41,112,187,s20,153,340
T1900045271_TH20190041,37,83,175,s20,120,295
T1900045272_TH20190042,23,73,135,s20,96,231
T1900045273_TH20190043,27,73,146,s20,100,246
T1900045274_TH20190044,22,81,97,s20,103,200
T1900045275_TH20190045,34,86,175,s20,120,295
T1900045276_TH20190046,28,120,207,s20,148,355
T1900045277_TH20190047,29,115,186,s20,144,330
T1900045278_TH20190048,16,65,134,s20,81,215
T1900045279_TH20190049,36,113,156,s20,149,305
T1900045280_TH20190050,30,108,178,s20,138,316
T1900045281_TH20190051,26,91,139,s20,117,256
T1900045282_TH20190052,44,99,137,s20,143,280
