Sample_ID,PCoA1,PCoA2,Host
T1900045117_TC20190111,0.23255944682417518,-0.18703378382310226,Tibetan_Cattle
T1900045118_TC20190112,0.19437055943450873,-0.09557505217865059,Tibetan_Cattle
T1900045119_TC20190113,0.24532853280414915,-0.16768364029089344,Tibetan_Cattle
T1900045120_TC20190114,0.2527987921303504,-0.15233906452759496,Tibetan_Cattle
T1900045121_TC20190115,0.2512197297352326,-0.15266370919709726,Tibetan_Cattle
T1900045122_TC20190116,0.25237067242446903,-0.16372942124585274,Tibetan_Cattle
T1900045123_TC20190117,0.1397402764714393,-0.15347659380888604,Tibetan_Cattle
T1900045124_TC20190118,0.20716664727227682,-0.12292431778937482,Tibetan_Cattle
T1900045125_TC20190119,0.24079109309963864,-0.15742210446248336,Tibetan_Cattle
T1900045126_TC20190120,0.25313866363398413,-0.14865380795359837,Tibetan_Cattle
T1900045127_TC20190121,0.18268158733880321,-0.05294553929602099,Tibetan_Cattle
T1900045128_TC20190122,0.16932712793011667,-0.13362184105445757,Tibetan_Cattle
T1900045129_TC20190123,0.22442870383748817,-0.1453711034740607,Tibetan_Cattle
T1900045130_TC20190124,0.19058997673439454,-0.0663522161448594,Tibetan_Cattle
T1900045131_TC20190125,0.17178345310514662,-0.13963369360384956,Tibetan_Cattle
T1900045132_TC20190126,0.16921141510365412,-0.09306432588400305,Tibetan_Cattle
T1900045133_TC20190127,-7.740545020575017e-4,-0.1808291364853424,Tibetan_Cattle
T1900045135_TC20190129,0.19594124022992232,-0.10618626003193808,Tibetan_Cattle
T1900045136_TC20190130,0.21088286152445676,-0.09297959619118125,Tibetan_Cattle
T1900045137_TC20190131,0.19202043835962787,-0.08329917674646668,Tibetan_Cattle
T1900045138_TC20190132,0.20505270471637801,-0.10769217020712789,Tibetan_Cattle
T1900045139_TC20190133,0.19355343777537223,-0.1150587399035439,Tibetan_Cattle
T1900045140_TC20190134,0.18455272941191858,-0.0565481334536552,Tibetan_Cattle
T1900045141_TC20190135,0.2322917404785046,-0.10207664691522855,Tibetan_Cattle
T1900045142_TC20190136,0.18990362166476896,-0.150233396153329,Tibetan_Cattle
T1900045143_TC20190137,0.052723409476712335,-0.14738035459643367,Tibetan_Cattle
T1900045144_TC20190138,0.16799667854334002,-0.1553387516580166,Tibetan_Cattle
T1900045145_TC20190139,0.17304465169944425,-0.11924959523554073,Tibetan_Cattle
T1900045146_TC20190140,0.2165049356740098,-0.09765398877683647,Tibetan_Cattle
T1900045147_TC20190141,0.17899344437455444,-0.07707766800187249,Tibetan_Cattle
