SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_8358,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_11842,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_9804,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10893,Non-specific,g__UBA1227,0.666666667,0.333333333
SGB_630,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7699,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_13922,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12513,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11442,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_2743,Non-specific,g__Methanocorpusculum,0.615384615,0.384615385
SGB_4711,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6589,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_2432,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_1101,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_2513,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_11166,Non-specific,g__HGM04593,0.66,0.34
SGB_5942,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_10025,Non-specific,g__RGIG4079,0.70212766,0.29787234
SGB_8563,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_13747,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12874,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13586,Non-specific,g__SIG5,0.64,0.36
SGB_8960,Non-specific,g__CAG-485,0.704545455,0.295454545
SGB_7682,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10270,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_7597,Non-specific,g__HGM04593,0.66,0.34
SGB_10350,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10137,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_8356,Non-specific,g__RGIG4079,0.70212766,0.29787234
SGB_11711,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7730,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13108,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_14010,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6326,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10050,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12996,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_12693,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_6408,Non-specific,g__CAG-485,0.704545455,0.295454545
SGB_12831,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_2187,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13996,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_10862,Non-specific,g__HGM04593,0.66,0.34
SGB_6803,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10315,Non-specific,g__HGM04593,0.66,0.34
SGB_13728,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_8407,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13233,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_617,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10764,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10259,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_1904,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11519,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_1065,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_12057,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_1265,Non-specific,g__UMGS1820,0.666666667,0.333333333
SGB_2357,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_8884,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7092,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11206,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10316,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11014,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7578,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4483,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_4542,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_13463,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_9888,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_14009,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_10051,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_11317,Non-specific,g__Methanocorpusculum,0.615384615,0.384615385
SGB_10020,HGT,g__DTU089,0.363636364,0.636363636
SGB_10231,HGT,g__Mediterranea,0.5,0.5
SGB_10656,HGT,g__RF16,0.475,0.525
SGB_10991,HGT,g__RF16,0.475,0.525
SGB_11112,SPE,g__HUN007,0.5625,0.4375
SGB_11322,HGT,g__RGIG3925,0.375,0.625
SGB_11431,SPE,g__HGM12619,0.9,0.1
SGB_1264,HGT,g__UBA737,0.466666667,0.533333333
SGB_13073,SPE,g__Treponema_F,0.588235294,0.411764706
SGB_13227,HGT,g__Saccharofermentans,0.388888889,0.611111111
SGB_13467,SPE,g__Acetatifactor,0.666666667,0.333333333
SGB_1473,HGT,g__Tidjanibacter,0.48,0.52
SGB_1833,HGT,g__Tidjanibacter,0.48,0.52
SGB_2014,SPE,g__RUG420,0.523809524,0.476190476
SGB_2015,HGT,g__Treponema_D,0.5,0.5
SGB_2047,SPE,g__Treponema_F,0.588235294,0.411764706
SGB_2386,HGT,g__HGM05376,0.358974359,0.641025641
SGB_2422,HGT,g__Agathobacter,0.454545455,0.545454545
SGB_2527,HGT,g__SIG77,0.25,0.75
SGB_2888,SPE,g__RUG420,0.523809524,0.476190476
SGB_3045,SPE,g__CAG-177,0.761904762,0.238095238
SGB_3068,HGT,g__UBA1181,0.344827586,0.655172414
SGB_3138,HGT,g__Streptococcus,0.375,0.625
SGB_3397,HGT,g__UMGS1865,0.444444444,0.555555556
SGB_3504,SPE,g__RGIG5612,0.764705882,0.235294118
SGB_3508,HGT,g__RF16,0.475,0.525
SGB_3986,HGT,g__UBA1181,0.344827586,0.655172414
SGB_4044,SPE,g__UBA4334,0.933333333,0.066666667
SGB_4067,SPE,g__UBA3766,0.818181818,0.181818182
