Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4483,0.003490401,0.996509599,0.059252442,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017384185
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4542,0.007220217,0.992779783,0.079113924,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017383445
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4543,0.023722628,0.97080292,0.15486493,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4573,0.005512679,0.988974642,0.099271228,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4711,0.038847118,0.946115288,0.096466217,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017628735
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4731,0.001727116,0.986183074,0.07337505,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4877,0.005623243,0.984067479,0.063982268,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017379895
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4892,0.008833922,0.973498233,0.077198039,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_4975,0.01650165,0.97579758,0.098427407,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp017631135
g__Alistipes,Non-specific,0.667484663,0.332515337,SGB_5057,0.004405286,0.983847283,0.060984515,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
